time,temperature,humidity,fetched_at,temperature_f,humidity_level
05:37:39,31.3,53,2026-05-22 05:37:39.553256,88.34,Normal
05:37:41,30.8,74,2026-05-22 05:37:41.397307,87.44,High
05:37:42,34.9,66,2026-05-22 05:37:42.511785,94.82,Normal
05:37:45,32.9,45,2026-05-22 05:37:45.511686,91.22,Normal
05:37:46,29.0,87,2026-05-22 05:37:46.409974,84.2,High
05:37:48,26.6,83,2026-05-22 05:37:48.513693,79.88,High
05:37:51,25.8,56,2026-05-22 05:37:51.515942,78.44,Normal
05:37:54,32.3,46,2026-05-22 05:37:54.511040,90.14,Normal
05:37:56,26.7,86,2026-05-22 05:37:56.087323,80.06,High
05:37:39,31.3,53,2026-05-22 05:37:39.553256,88.34,Normal
05:37:41,30.8,74,2026-05-22 05:37:41.397307,87.44,High
05:37:42,34.9,66,2026-05-22 05:37:42.511785,94.82,Normal
05:37:45,32.9,45,2026-05-22 05:37:45.511686,91.22,Normal
05:37:46,29.0,87,2026-05-22 05:37:46.409974,84.2,High
05:37:48,26.6,83,2026-05-22 05:37:48.513693,79.88,High
05:37:51,25.8,56,2026-05-22 05:37:51.515942,78.44,Normal
05:37:54,32.3,46,2026-05-22 05:37:54.511040,90.14,Normal
05:37:56,26.7,86,2026-05-22 05:37:56.087323,80.06,High
05:37:57,35.9,54,2026-05-22 05:37:57.511170,96.61999999999999,Normal
05:38:00,38.9,51,2026-05-22 05:38:00.512219,102.02,Normal
05:38:01,35.7,51,2026-05-22 05:38:01.113419,96.26,Normal
05:37:39,31.3,53,2026-05-22 05:37:39.553256,88.34,Normal
05:37:41,30.8,74,2026-05-22 05:37:41.397307,87.44,High
05:37:42,34.9,66,2026-05-22 05:37:42.511785,94.82,Normal
05:37:45,32.9,45,2026-05-22 05:37:45.511686,91.22,Normal
05:37:46,29.0,87,2026-05-22 05:37:46.409974,84.2,High
05:37:48,26.6,83,2026-05-22 05:37:48.513693,79.88,High
05:37:51,25.8,56,2026-05-22 05:37:51.515942,78.44,Normal
05:37:54,32.3,46,2026-05-22 05:37:54.511040,90.14,Normal
05:37:56,26.7,86,2026-05-22 05:37:56.087323,80.06,High
05:37:57,35.9,54,2026-05-22 05:37:57.511170,96.61999999999999,Normal
05:38:00,38.9,51,2026-05-22 05:38:00.512219,102.02,Normal
05:38:01,35.7,51,2026-05-22 05:38:01.113419,96.26,Normal
05:38:03,35.4,90,2026-05-22 05:38:03.511700,95.72,High
05:38:06,26.6,51,2026-05-22 05:38:06.128553,79.88,Normal
05:37:39,31.3,53,2026-05-22 05:37:39.553256,88.34,Normal
05:37:41,30.8,74,2026-05-22 05:37:41.397307,87.44,High
05:37:42,34.9,66,2026-05-22 05:37:42.511785,94.82,Normal
05:37:45,32.9,45,2026-05-22 05:37:45.511686,91.22,Normal
05:37:46,29.0,87,2026-05-22 05:37:46.409974,84.2,High
05:37:48,26.6,83,2026-05-22 05:37:48.513693,79.88,High
05:37:51,25.8,56,2026-05-22 05:37:51.515942,78.44,Normal
05:37:54,32.3,46,2026-05-22 05:37:54.511040,90.14,Normal
05:37:56,26.7,86,2026-05-22 05:37:56.087323,80.06,High
05:37:57,35.9,54,2026-05-22 05:37:57.511170,96.61999999999999,Normal
05:38:00,38.9,51,2026-05-22 05:38:00.512219,102.02,Normal
05:38:01,35.7,51,2026-05-22 05:38:01.113419,96.26,Normal
05:38:03,35.4,90,2026-05-22 05:38:03.511700,95.72,High
05:38:06,26.6,51,2026-05-22 05:38:06.128553,79.88,Normal
05:38:06,30.3,71,2026-05-22 05:38:06.512180,86.53999999999999,High
05:38:09,37.4,74,2026-05-22 05:38:09.511583,99.32,High
05:38:11,26.9,57,2026-05-22 05:38:11.143826,80.42,Normal
05:37:39,31.3,53,2026-05-22 05:37:39.553256,88.34,Normal
05:37:41,30.8,74,2026-05-22 05:37:41.397307,87.44,High
05:37:42,34.9,66,2026-05-22 05:37:42.511785,94.82,Normal
05:37:45,32.9,45,2026-05-22 05:37:45.511686,91.22,Normal
05:37:46,29.0,87,2026-05-22 05:37:46.409974,84.2,High
05:37:48,26.6,83,2026-05-22 05:37:48.513693,79.88,High
05:37:51,25.8,56,2026-05-22 05:37:51.515942,78.44,Normal
05:37:54,32.3,46,2026-05-22 05:37:54.511040,90.14,Normal
05:37:56,26.7,86,2026-05-22 05:37:56.087323,80.06,High
05:37:57,35.9,54,2026-05-22 05:37:57.511170,96.61999999999999,Normal
05:38:00,38.9,51,2026-05-22 05:38:00.512219,102.02,Normal
05:38:01,35.7,51,2026-05-22 05:38:01.113419,96.26,Normal
05:38:03,35.4,90,2026-05-22 05:38:03.511700,95.72,High
05:38:06,26.6,51,2026-05-22 05:38:06.128553,79.88,Normal
05:38:06,30.3,71,2026-05-22 05:38:06.512180,86.53999999999999,High
05:38:09,37.4,74,2026-05-22 05:38:09.511583,99.32,High
05:38:11,26.9,57,2026-05-22 05:38:11.143826,80.42,Normal
05:38:12,28.1,85,2026-05-22 05:38:12.525430,82.58,High
05:38:15,36.2,78,2026-05-22 05:38:15.510283,97.16,High
05:38:16,39.2,89,2026-05-22 05:38:16.154450,102.56,High
05:37:39,31.3,53,2026-05-22 05:37:39.553256,88.34,Normal
05:37:41,30.8,74,2026-05-22 05:37:41.397307,87.44,High
05:37:42,34.9,66,2026-05-22 05:37:42.511785,94.82,Normal
05:37:45,32.9,45,2026-05-22 05:37:45.511686,91.22,Normal
05:37:46,29.0,87,2026-05-22 05:37:46.409974,84.2,High
05:37:48,26.6,83,2026-05-22 05:37:48.513693,79.88,High
05:37:51,25.8,56,2026-05-22 05:37:51.515942,78.44,Normal
05:37:54,32.3,46,2026-05-22 05:37:54.511040,90.14,Normal
05:37:56,26.7,86,2026-05-22 05:37:56.087323,80.06,High
05:37:57,35.9,54,2026-05-22 05:37:57.511170,96.61999999999999,Normal
05:38:00,38.9,51,2026-05-22 05:38:00.512219,102.02,Normal
05:38:01,35.7,51,2026-05-22 05:38:01.113419,96.26,Normal
05:38:03,35.4,90,2026-05-22 05:38:03.511700,95.72,High
05:38:06,26.6,51,2026-05-22 05:38:06.128553,79.88,Normal
05:38:06,30.3,71,2026-05-22 05:38:06.512180,86.53999999999999,High
05:38:09,37.4,74,2026-05-22 05:38:09.511583,99.32,High
05:38:11,26.9,57,2026-05-22 05:38:11.143826,80.42,Normal
