time,city,temperature,humidity,condition,aqi,pm25,pm10,co,no2
2026-06-03 19:53:21,Delhi,35.84,24,Clear,4,60.53,77.76,673.07,15.02
2026-06-03 19:53:22,Mumbai,29.86,72,Clear,1,3.65,10.1,75.96,0.06
2026-06-03 19:53:22,Hyderabad,29.55,52,Clouds,1,6.23,8.8,179.43,9.99
2026-06-03 19:53:23,Chennai,30.9,73,Clouds,2,24.06,32.15,485.3,21.5
2026-06-03 19:53:24,Bangalore,20.92,90,Clouds,1,6.67,10.04,230.82,11.23
2026-06-03 19:53:25,Kolkata,30.15,75,Clear,5,75.66,100.39,296.6,2
2026-06-03 19:53:25,Vijayawada,33.26,47,Clouds,2,14.52,16.02,197.63,3.31
2026-06-03 19:53:26,Pune,26.89,49,Clear,1,1.66,2.84,85.02,1.83
2026-06-03 19:53:27,Ahmedabad,32.58,54,Clouds,2,12.05,46.02,115.2,3.47
2026-06-03 19:53:28,Jaipur,33.11,29,Clear,3,25.17,56.2,191.25,3.62
2026-06-03 19:58:29,Delhi,35.84,24,Clear,4,60.53,77.76,673.07,15.02
2026-06-03 19:58:29,Mumbai,29.86,72,Clear,1,3.65,10.1,75.96,0.06
2026-06-03 19:58:30,Hyderabad,29.55,52,Clouds,1,6.23,8.8,179.43,9.99
2026-06-03 19:58:30,Chennai,30.9,73,Clouds,2,24.06,32.15,485.3,21.5
2026-06-03 19:58:31,Bangalore,20.78,91,Clouds,1,6.67,10.04,230.82,11.23
2026-06-03 19:58:32,Kolkata,30.15,75,Clear,5,75.66,100.39,296.6,2
2026-06-03 19:58:32,Vijayawada,33.26,47,Clouds,2,14.52,16.02,197.63,3.31
2026-06-03 19:58:33,Pune,26.89,49,Clear,1,1.66,2.84,85.02,1.83
2026-06-03 19:58:33,Ahmedabad,32.58,54,Clouds,2,12.05,46.02,115.2,3.47
2026-06-03 19:58:34,Jaipur,33.11,29,Clear,3,25.17,56.2,191.25,3.62
2026-06-03 20:03:35,Delhi,35.84,24,Clear,4,60.53,77.76,673.07,15.02
2026-06-03 20:03:35,Mumbai,29.86,72,Clear,1,3.65,10.1,75.96,0.06
2026-06-03 20:03:36,Hyderabad,29.55,52,Clouds,1,6.23,8.8,179.43,9.99
2026-06-03 20:03:37,Chennai,30.9,73,Clouds,2,24.06,32.15,485.3,21.5
2026-06-03 20:03:38,Bangalore,20.78,91,Clouds,1,6.67,10.04,230.82,11.23
2026-06-03 20:03:38,Kolkata,30.15,75,Clear,5,75.66,100.39,296.6,2
2026-06-03 20:03:39,Vijayawada,33.26,47,Clouds,2,14.52,16.02,197.63,3.31
2026-06-03 20:03:40,Pune,27.45,50,Clear,1,1.66,2.84,85.02,1.83
2026-06-03 20:03:40,Ahmedabad,32.58,54,Clouds,2,12.05,46.02,115.2,3.47
2026-06-03 20:03:41,Jaipur,33.11,29,Clear,3,25.17,56.2,191.25,3.62
2026-06-03 20:08:42,Delhi,35.84,24,Clear,4,60.53,77.76,673.07,15.02
2026-06-03 20:08:43,Mumbai,29.86,72,Clear,1,3.65,10.1,75.96,0.06
2026-06-03 20:08:43,Hyderabad,29.55,52,Clouds,1,6.23,8.8,179.43,9.99
2026-06-03 20:08:44,Chennai,31.3,73,Clouds,2,24.06,32.15,485.3,21.5
2026-06-03 20:08:44,Bangalore,20.57,91,Clouds,1,6.67,10.04,230.82,11.23
2026-06-03 20:08:45,Kolkata,30.15,75,Clear,5,75.66,100.39,296.6,2
2026-06-03 20:08:45,Vijayawada,33.26,47,Clouds,2,14.52,16.02,197.63,3.31
2026-06-03 20:08:46,Pune,27.45,50,Clear,1,1.66,2.84,85.02,1.83
2026-06-03 20:08:47,Ahmedabad,32.58,54,Clouds,2,12.05,46.02,115.2,3.47
2026-06-03 20:08:47,Jaipur,33.11,29,Clear,3,25.17,56.2,191.25,3.62
2026-06-03 20:24:15,Delhi,35.84,24,Clear,4,60.53,77.76,673.07,15.02
2026-06-03 20:24:15,Mumbai,29.86,72,Clear,1,3.65,10.1,75.96,0.06
2026-06-03 20:24:16,Hyderabad,29.55,52,Clouds,1,6.23,8.8,179.43,9.99
2026-06-03 20:24:17,Chennai,31.3,72,Clouds,2,24.06,32.15,485.3,21.5
2026-06-03 20:24:18,Bangalore,20.57,91,Clouds,1,6.67,10.04,230.82,11.23
2026-06-03 20:24:18,Kolkata,30.15,75,Clear,5,75.66,100.39,296.6,2
2026-06-03 20:24:19,Vijayawada,33.26,47,Clouds,2,14.52,16.02,197.63,3.31
2026-06-03 20:24:20,Pune,26.89,51,Clear,1,1.66,2.84,85.02,1.83
2026-06-03 20:24:20,Ahmedabad,32.58,54,Clouds,2,12.05,46.02,115.2,3.47
2026-06-03 20:24:21,Jaipur,33.11,29,Clear,3,25.17,56.2,191.25,3.62
2026-06-03 20:41:18,Delhi,34.89,27,Clear,4,60.75,77.98,675.99,13.31
2026-06-03 20:41:18,Mumbai,29.67,72,Clear,1,3.78,10.21,75.86,0.06
2026-06-03 20:41:19,Hyderabad,29.06,53,Clouds,1,5.69,8.39,182.56,9.81
2026-06-03 20:41:20,Chennai,31.47,73,Clouds,2,22.14,29.63,460.92,19.57
2026-06-03 20:41:21,Bangalore,20.92,89,Clouds,1,6.59,9.79,221.68,10.16
2026-06-03 20:41:22,Kolkata,30.05,74,Clear,5,76.09,101.51,300.33,2.03
2026-06-03 20:41:22,Vijayawada,32.84,48,Clouds,2,14.02,15.61,192.06,3.31
2026-06-03 20:41:23,Pune,26.89,51,Clear,1,1.64,2.64,86.9,2.14
2026-06-03 20:41:24,Ahmedabad,31.58,58,Clouds,3,12.79,50.97,110.91,3.29
2026-06-03 20:41:24,Jaipur,31.36,34,Clear,3,24.23,54.94,186.71,3.33
2026-06-03 20:46:25,Delhi,34.89,27,Clear,4,60.75,77.98,675.99,13.31
2026-06-03 20:46:26,Mumbai,29.67,72,Clear,1,3.78,10.21,75.86,0.06
2026-06-03 20:46:26,Hyderabad,29.06,53,Clouds,1,5.69,8.39,182.56,9.81
2026-06-03 20:46:27,Chennai,31.3,73,Clouds,2,22.14,29.63,460.92,19.57
2026-06-03 20:46:27,Bangalore,20.92,89,Clouds,1,6.59,9.79,221.68,10.16
2026-06-03 20:46:28,Kolkata,30.05,74,Clear,5,76.09,101.51,300.33,2.03
2026-06-03 20:46:28,Vijayawada,32.84,48,Clouds,2,14.02,15.61,192.06,3.31
2026-06-03 20:46:29,Pune,26.34,51,Clear,1,1.64,2.64,86.9,2.14
2026-06-03 20:46:29,Ahmedabad,31.58,58,Clouds,3,12.79,50.97,110.91,3.29
2026-06-03 20:46:30,Jaipur,31.36,34,Clear,3,24.23,54.94,186.71,3.33
2026-06-03 20:51:30,Delhi,34.89,27,Clear,4,60.75,77.98,675.99,13.31
2026-06-03 20:51:31,Mumbai,29.67,72,Clear,1,3.78,10.21,75.86,0.06
2026-06-03 20:51:32,Hyderabad,29.06,53,Clouds,1,5.69,8.39,182.56,9.81
2026-06-03 20:51:33,Chennai,31.3,73,Clouds,2,22.14,29.63,460.92,19.57
